i,t_rel,error,display_position_deg,filtered_position_deg,measured_position_deg,velocity_deg_per_sec,raw_velocity_deg_per_sec,raw_position_deg,pos_estimate,pending_confirmation,glitch_rejected,display_delta_deg,filtered_delta_deg,measured_delta_deg
0,0.004069216083735228,,16.28365625,16.30767225534656,16.28365625,0.0,0.03805115818977356,16.34765625,0.04541015625,False,False,,,
1,0.055740902200341225,,16.28365625,16.29689790683592,16.28365625,0.0,4.927712827920914,16.34765625,0.04541015625,False,False,0.0,-0.010774348510636855,0.0
2,0.10759088303893805,,16.28365625,16.292559940056467,16.28365625,0.0,0.038045793771743774,16.34765625,0.04541015625,False,False,0.0,-0.0043379667794454235,0.0
3,0.15927473618648946,,16.28365625,16.28964309119397,16.28365625,0.0,0.038045793771743774,16.34765625,0.04541015625,False,False,0.0,-0.0029168488624975453,0.0
4,0.21144282701425254,,16.28365625,16.28768180201883,16.28365625,0.0,5.313950926065445,16.34765625,0.04541015625,False,False,0.0,-0.0019612891751421557,0.0
5,0.2633654931560159,,16.28365625,16.28636303117746,16.28365625,0.0,0.038045793771743774,16.34765625,0.04541015625,False,False,0.0,-0.0013187708413795463,0.0
6,0.31530689913779497,,16.28365625,16.28547628966372,16.28365625,0.0,2.7980388700962067,16.34765625,0.04541015625,False,False,0.0,-0.000886741513738798,0.0
7,0.3674481750931591,,16.28365625,16.284880044669883,16.28365625,0.0,0.038045793771743774,16.34765625,0.04541015625,False,False,0.0,-0.0005962449938294867,0.0
8,0.4192984711844474,,16.28365625,16.284479129536027,16.28365625,0.0,0.15337541699409485,16.34765625,0.04541015625,False,False,0.0,-0.00040091513386641964,0.0
9,0.4711849531158805,,16.28365625,16.28420955420002,16.28365625,0.0,0.03804042935371399,16.34765625,0.04541015625,False,False,0.0,-0.00026957533600580064,0.0
10,0.5229166571516544,,16.28365625,16.284028291744097,16.28365625,0.0,1.2718565762043,16.34765625,0.04541015625,False,False,0.0,-0.0001812624559249798,0.0
11,0.5748510269913822,,16.28365625,16.283906410868727,16.28365625,0.0,0.279439240694046,16.34765625,0.04541015625,False,False,0.0,-0.00012188087538334003,0.0
12,0.6264988430775702,,16.28365625,16.28386138191236,16.28365625,0.0,0.1372767984867096,16.34765625,0.04541015625,False,False,0.0,-4.502895637870097e-05,0.0
13,0.6782371951267123,,16.28365625,16.28379418069787,16.28365625,0.0,0.038035064935684204,16.34765625,0.04541015625,False,False,0.0,-6.720121447756355e-05,0.0
14,0.729935770155862,,16.28365625,16.31254196335125,16.371546875,0.0,0.04607565701007843,16.435546875,0.045654296875,False,False,0.0,0.02874778265336886,0.087890625
15,0.7816701221745461,,16.28365625,16.33187197240738,16.371546875,0.0,-64.50666010379791,16.435546875,0.045654296875,False,False,0.0,0.01933000905611948,0.0
16,0.833427197067067,,16.28365625,16.344869470496725,16.371546875,0.0,0.016561970114707947,16.435546875,0.045654296875,False,False,0.0,0.012997498089333703,0.0
17,0.8851832351647317,,16.28365625,16.353608988212002,16.371546875,0.0,6.571879461407661,16.435546875,0.045654296875,False,False,0.0,0.00873951771527004,0.0
18,0.9369064581114799,,16.28365625,16.359485439923752,16.371546875,0.0,0.3276915103197098,16.435546875,0.045654296875,False,False,0.0,0.0058764517117424475,0.0
19,0.9885119781829417,,16.28365625,16.34761645355473,16.28365625,0.0,-0.069270059466362,16.34765625,0.04541015625,False,False,0.0,-0.01186898636902356,-0.087890625
20,1.0405088851694018,,16.28365625,16.326663090870202,16.28365625,0.0,1.5212805569171906,16.34765625,0.04541015625,False,False,0.0,-0.02095336268453707,0.0
21,1.0923020711634308,,16.28365625,16.312574049801125,16.28365625,0.0,1.8163235485553741,16.34765625,0.04541015625,False,False,0.0,-0.014089041069070163,0.0
22,1.1439149992074817,,16.28365625,16.299600599440748,16.28365625,0.0,3.0420930683612823,16.34765625,0.04541015625,False,False,0.0,-0.012973450360391325,0.0
23,1.1957322959788144,,16.28365625,16.294377230563956,16.28365625,0.0,0.03533676266670227,16.34765625,0.04541015625,False,False,0.0,-0.005223368876784207,0.0
24,1.2475898331031203,,16.28365625,16.29086503733121,16.28365625,0.0,0.03533676266670227,16.34765625,0.04541015625,False,False,0.0,-0.003512193232751315,0.0
25,1.2992963530123234,,16.28365625,16.304323751101506,16.371546875,0.0,-0.07731602119747549,16.435546875,0.045654296875,False,False,0.0,0.013458713770290842,0.087890625
26,1.3512817230075598,,16.28365625,16.326346046490652,16.371546875,0.0,-0.7666552159935236,16.435546875,0.045654296875,False,False,0.0,0.02202229538914935,0.0
27,1.4031814450863749,,16.28365625,16.31236086916031,16.28365625,0.0,-46.967711448669434,16.34765625,0.04541015625,False,False,0.0,-0.013985177330340548,-0.087890625
28,1.4550996671896428,,16.28365625,16.30295723592339,16.28365625,0.0,0.657593160867691,16.34765625,0.04541015625,False,False,0.0,-0.0094036332369285,0.0
29,1.506802539108321,,16.28365625,16.29663423293489,16.28365625,0.0,5.614315420389175,16.34765625,0.04541015625,False,False,0.0,-0.0063230029884948635,0.0
30,1.5586860761977732,,16.28365625,16.292382645725418,16.28365625,0.0,0.4644700884819031,16.34765625,0.04541015625,False,False,0.0,-0.004251587209466834,0.0
31,1.6105157430283725,,16.28365625,16.28952387848577,16.28365625,0.0,3.9566995203495026,16.34765625,0.04541015625,False,False,0.0,-0.0028587672396440666,0.0
32,1.6623522811569273,,16.28365625,16.31639461214383,16.371546875,0.0,1.0599077492952347,16.435546875,0.045654296875,False,False,0.0,0.02687073365805759,0.087890625
33,1.7140677450224757,,16.28365625,16.334462493455515,16.371546875,0.0,-0.08272403036244214,16.435546875,0.045654296875,False,False,0.0,0.018067881311679912,0.0
