i,t,axis_pos,mapper_pos,estimator_pos,spi_raw,spi_errors,spi_status,axis_pos_d,mapper_pos_d,estimator_pos_d,spi_raw_d,dt
0,1.7401762306690216e-06,0.05749619007110596,0.057495951652526855,0.9970099925994873,0.99700927734375,0,0,0.0,0.0,0.0,0.0,0.0
1,0.011894592083990574,0.05750274658203125,0.05750089883804321,0.997014045715332,0.99700927734375,0,0,6.556510925292969e-06,4.947185516357422e-06,4.0531158447265625e-06,0.0,0.011892851907759905
2,0.023653426207602024,0.05761533975601196,0.0575944185256958,0.9970953464508057,0.99700927734375,0,0,0.00011259317398071289,9.351968765258789e-05,8.130073547363281e-05,0.0,0.01175883412361145
3,0.035383667098358274,0.0574985146522522,0.051570355892181396,0.9933028221130371,0.99700927734375,0,0,-0.00011682510375976562,-0.006024062633514404,-0.0037925243377685547,0.0,0.01173024089075625
4,0.0469974831212312,0.0576397180557251,0.05762898921966553,0.9971298575401306,0.99700927734375,0,0,0.0001412034034729004,0.006058633327484131,0.003827035427093506,0.0,0.011613816022872925
5,0.0586212610360235,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-0.00014448165893554688,-0.00013375282287597656,-0.00012046098709106445,0.0,0.0116237779147923
6,0.07025561411865056,0.05754035711288452,0.05753326416015625,0.9970413446426392,0.99700927734375,0,0,4.51207160949707e-05,3.802776336669922e-05,3.1948089599609375e-05,0.0,0.011634353082627058
7,0.08300849911756814,0.057495832443237305,0.057495713233947754,0.9970097541809082,0.99700927734375,0,0,-4.45246696472168e-05,-3.7550926208496094e-05,-3.159046173095703e-05,0.0,0.01275288499891758
8,0.09462537011131644,0.05750882625579834,0.057506561279296875,0.9970188140869141,0.99700927734375,0,0,1.2993812561035156e-05,1.0848045349121094e-05,9.059906005859375e-06,0.0,0.011616870993748307
9,0.10628305608406663,0.057499468326568604,0.057498812675476074,0.9970123171806335,0.99700927734375,0,0,-9.357929229736328e-06,-7.748603820800781e-06,-6.496906280517578e-06,0.0,0.011657685972750187
10,0.1178881130181253,0.057534873485565186,0.05752831697463989,0.9970369935035706,0.99700927734375,0,0,3.540515899658203e-05,2.950429916381836e-05,2.467632293701172e-05,0.0,0.011605056934058666
11,0.12951568816788495,0.05749911069869995,0.0574985146522522,0.9970120787620544,0.99700927734375,0,0,-3.5762786865234375e-05,-2.9802322387695312e-05,-2.491474151611328e-05,0.0,0.01162757514975965
12,0.14115507807582617,0.057495176792144775,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-3.933906555175781e-06,-3.3974647521972656e-06,-2.8014183044433594e-06,0.0,0.011639389907941222
13,0.15289937402121723,0.052797794342041016,0.05459249019622803,0.9952742457389832,0.99700927734375,0,0,-0.00469738245010376,-0.0029026269912719727,-0.0017350316047668457,0.0,0.011744295945391059
14,0.16451835702173412,0.057637929916381836,0.05765795707702637,0.9971744418144226,0.99700927734375,0,0,0.00484013557434082,0.00306546688079834,0.0019001960754394531,0.0,0.011618983000516891
15,0.17613137606531382,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-0.00014269351959228516,-0.0001627206802368164,-0.00016504526138305664,0.0,0.011613019043579698
16,0.18774798815138638,0.057548701763153076,0.05754023790359497,0.9970471858978271,0.99700927734375,0,0,5.346536636352539e-05,4.500150680541992e-05,3.7789344787597656e-05,0.0,0.011616612086072564
17,0.19954704400151968,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-5.346536636352539e-05,-4.500150680541992e-05,-3.7789344787597656e-05,0.0,0.0117990558501333
18,0.21125626703724265,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-1.1920928955078125e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,0.011709223035722971
19,0.22288958309218287,0.0575140118598938,0.0575108528137207,0.9970224499702454,0.99700927734375,0,0,1.8894672393798828e-05,1.5735626220703125e-05,1.3172626495361328e-05,0.0,0.011633316054940224
20,0.234512769151479,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-1.8775463104248047e-05,-1.5616416931152344e-05,-1.3053417205810547e-05,0.0,0.011623186059296131
21,0.24612214020453393,0.0501362681388855,0.052861690521240234,0.9941611886024475,0.99700927734375,0,0,-0.007358968257904053,-0.004633545875549316,-0.002848207950592041,0.0,0.011609371053054929
22,0.257751438068226,0.05749553442001343,0.05749547481536865,0.9970095157623291,0.99700927734375,0,0,0.00735926628112793,0.004633784294128418,0.002848327159881592,0.0,0.011629297863692045
23,0.269519753055647,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-4.172325134277344e-07,-3.5762786865234375e-07,-2.384185791015625e-07,0.0,0.011768314987421036
24,0.28112173499539495,0.05752450227737427,0.057519733905792236,0.9970299005508423,0.99700927734375,0,0,2.9385089874267578e-05,2.4616718292236328e-05,2.0623207092285156e-05,0.0,0.01160198193974793
25,0.2927567921578884,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-2.9265880584716797e-05,-2.4497509002685547e-05,-2.0503997802734375e-05,0.0,0.011635057162493467
26,0.30437199608422816,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-1.1920928955078125e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,0.011615203926339746
27,0.31600988609716296,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,0.0,0.0,0.0,0.0,0.011637890012934804
28,0.3277534241788089,0.05750149488449097,0.057500362396240234,0.9970136284828186,0.99700927734375,0,0,6.377696990966797e-06,5.245208740234375e-06,4.351139068603516e-06,0.0,0.011743538081645966
29,0.339377110125497,0.057581186294555664,0.057569026947021484,0.9896337389945984,0.99700927734375,0,0,7.969141006469727e-05,6.866455078125e-05,-0.007379889488220215,0.0,0.011623685946688056
